dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
GSE17920,py_tsp_rf,python_gene_pair,25,0.6907692307692308,0.07150812701222739,0.5624060150375939,0.09126600654665996,0.5575326718638657,0.1075066843218367,0.1532845766848871,0.22384451803745772
GSE17920,glmnet_enet,R,25,0.7061538461538461,0.045616530447839095,0.5459774436090225,0.06179891616688077,0.5094356478624938,0.09209316916071118,0.1308385315590326,0.17114019835963745
GSE17920,switchbox_ktsp,R,25,0.5707692307692306,0.0997284280876635,0.5454887218045114,0.09876196083415102,0.5269004640293374,0.09379632987978807,0.09035763671591227,0.186103034720637
GSE17920,py_reos,python_gene_pair,25,0.5415384615384615,0.068370726287043,0.542124060150376,0.07553675707607557,0.5126575470938579,0.06466060431398053,0.07916693082463393,0.13895011291668702
GSE17920,pyrrm_knn5,pyrrm,25,0.6615384615384614,0.06181827410892919,0.5252443609022557,0.06793622713870895,0.5132395233929401,0.081403393178454,0.06500666350406521,0.16693088005370646
GSE17920,knn_euclidean,R,25,0.6692307692307692,0.06280742930213278,0.5195718462823726,0.07885197483792991,0.49916404211896337,0.09881222363096483,0.049430802488149385,0.20507088618437327
GSE17920,majority,R,25,0.7076923076923076,0.019230769230769496,0.5,0.0,0.4143434343434342,0.006565656565656502,0.0,0.0
GSE19804,py_reos,python_gene_pair,25,0.9583333333333333,0.03402069087198859,0.9583333333333333,0.03402069087198857,0.9582432350258437,0.03410261554226843,0.9192528340222806,0.06662712183444944
GSE19804,py_tsp_rf,python_gene_pair,25,0.9583333333333335,0.039892796156514095,0.9583333333333333,0.03989279615651408,0.9581784843176148,0.04012999347144153,0.919868576296388,0.07678121081056122
GSE19804,py_reos_svm,python_gene_pair,25,0.9566666666666667,0.03893846046910054,0.9566666666666666,0.03893846046910053,0.9565089191002235,0.039174435986904295,0.9166632247366999,0.074947370973503
GSE19804,glmnet_enet,R,25,0.955,0.04646035745466036,0.955,0.04646035745466036,0.9549332117158202,0.04650977511495308,0.9118340975391258,0.09225862751897516
GSE19804,ranger_rf,R,25,0.9516666666666665,0.04283095540308127,0.9516666666666665,0.04283095540308127,0.9515357454140062,0.04301674987811383,0.9060418066263024,0.08383272223047886
GSE19804,xgboost_shallow,R,25,0.9516666666666665,0.042830955403081274,0.9516666666666665,0.042830955403081274,0.951488386010125,0.043129586337837554,0.9064481241798991,0.08265999875438783
GSE19804,py_tsp,python_gene_pair,25,0.95,0.05103103630798288,0.95,0.051031036307982856,0.9498596437379047,0.05117815456712401,0.9028412337221752,0.10041127661419874
GSE19804,py_tsp_svm,python_gene_pair,25,0.95,0.05103103630798289,0.95,0.051031036307982884,0.9496932169279995,0.05163865613500517,0.9039579533782123,0.0970874858546622
GSE19804,switchbox_tsp,R,25,0.9499999999999998,0.05103103630798289,0.9499999999999998,0.05103103630798289,0.9498596437379045,0.05117815456712404,0.9028412337221752,0.1004112766141987
GSE19804,pyrrm_knn5,pyrrm,25,0.9483333333333333,0.05677481509991582,0.9483333333333333,0.056774815099915804,0.9482432350258437,0.05690985175069357,0.8984061968346311,0.11277162039368913
GSE19804,switchbox_ktsp,R,25,0.9433333333333331,0.04793176090760388,0.9433333333333331,0.04793176090760388,0.9431879193270496,0.04808519307322458,0.8897358158671816,0.09465185216534357
GSE19804,knn_euclidean,R,25,0.9366666666666665,0.03826382587209965,0.9366666666666665,0.03826382587209965,0.936497942637073,0.03844230213977774,0.8768753193896558,0.07532633588475325
GSE19804,rrf_ranktreeensemble,R,25,0.9283333333333332,0.06076289681729818,0.9283333333333332,0.06076289681729818,0.927377754612537,0.06308610061540673,0.8644088361975887,0.11062413302088457
GSE19804,svm_linear,R,25,0.9216666666666665,0.05553819173092278,0.9216666666666665,0.05553819173092278,0.9215242728286205,0.055636206573076136,0.8459878192115162,0.11086258968513384
