dataset_id,method_id,source_group,accuracy,balanced_accuracy,macro_f1,mcc
GSE17920,py_tsp_rf,python_gene_pair,0.7132326007326008,0.5698055555555556,0.5512903408641732,0.1832075098468971
GSE17920,py_tsp_svm,python_gene_pair,0.6864194139194139,0.5915,0.5806477132146806,0.1944632582484542
GSE17920,glmnet_enet,r_classical_reference,0.720796703296703,0.556638888888889,0.519945223585586,0.156720066760618
GSE17920,knn_euclidean,r_classical_reference,0.68253663003663,0.550444444444445,0.532014780664364,0.122407792148532
GSE17920,majority,r_classical_reference,0.708241758241758,0.5,0.414502164502165,0.0
GSE17920,ranger_rf,r_classical_reference,0.80032967032967,0.673083333333333,0.680808658183473,0.457513548286342
GSE17920,rpart_tree,r_classical_reference,0.732417582417582,0.662944444444445,0.659716582689308,0.35303541799644
GSE17920,svm_linear,r_classical_reference,0.618461538461538,0.558722222222222,0.545531416553863,0.115098571378112
GSE17920,xgboost_shallow,r_classical_reference,0.784331501831502,0.650361111111111,0.65413286675186,0.410104936076841
GSE17920,rrf_ranktreeensemble,r_relational,0.649441391941392,0.612805555555556,0.592208853367135,0.222701243716518
GSE17920,switchbox_ktsp,r_relational,0.527884615384615,0.504583333333333,0.480516459326259,0.0096848751925423
GSE17920,switchbox_tsp,r_relational,0.566163003663004,0.557666666666667,0.525036981637214,0.107921346883867
GSE17920,tspdt_bigtsp,r_relational,0.636959706959707,0.553,0.544010866896299,0.115638496654635
GSE19804,pyrrm_knn5,pyrrm_relational_knn,0.9558333333333332,0.9558333333333334,0.9554748584748584,0.9172536110184808
GSE19804,py_reos,python_gene_pair,0.9425,0.9425,0.9416823176823176,0.8927963863354705
GSE19804,py_reos_svm,python_gene_pair,0.9366666666666668,0.9366666666666668,0.9358081918081916,0.881389779939498
GSE19804,py_tsp,python_gene_pair,0.9166666666666669,0.9166666666666669,0.9157752247752248,0.8414401701843047
GSE19804,py_tsp_rf,python_gene_pair,0.9366666666666668,0.9366666666666668,0.9358558108558108,0.8815527830212679
GSE19804,py_tsp_svm,python_gene_pair,0.9208333333333332,0.9208333333333334,0.9196843156843156,0.8512414971783082
GSE19804,glmnet_enet,r_classical_reference,0.953333333333333,0.953333333333333,0.952675990675991,0.913462626151654
GSE19804,knn_euclidean,r_classical_reference,0.946666666666667,0.946666666666667,0.946315018315018,0.898492234697159
GSE19804,majority,r_classical_reference,0.5,0.5,0.333333333333333,0.0
GSE19804,ranger_rf,r_classical_reference,0.9525,0.9525,0.952082251082251,0.910944061811433
GSE19804,rpart_tree,r_classical_reference,0.921666666666667,0.921666666666667,0.920798534798535,0.85238584389592
GSE19804,svm_linear,r_classical_reference,0.9175,0.9175,0.916120324120324,0.845934337084104
GSE19804,xgboost_shallow,r_classical_reference,0.9425,0.9425,0.941964701964702,0.891592967579286
GSE19804,rrf_ranktreeensemble,r_relational,0.898333333333333,0.898333333333333,0.894867989853284,0.813939330443826
GSE19804,switchbox_ktsp,r_relational,0.9375,0.9375,0.936755244755245,0.883001693467296
GSE19804,switchbox_tsp,r_relational,0.945833333333333,0.945833333333333,0.945343656343656,0.897379289685721
GSE19804,tspdt_bigtsp,r_relational,0.908333333333333,0.908333333333333,0.907114885114885,0.828075740315272
GSE25837,pyrrm_knn5,pyrrm_relational_knn,0.6794444444444444,0.4664285714285714,0.4288510019392372,-0.0847878512592775
GSE25837,py_reos,python_gene_pair,0.3898888888888889,0.4160714285714285,0.3599291819291819,-0.1520954722042105
GSE25837,py_reos_svm,python_gene_pair,0.5982222222222222,0.4541666666666666,0.4437102366587661,-0.0885704421151399
GSE25837,py_tsp,python_gene_pair,0.4077777777777778,0.3995238095238095,0.3553944943944943,-0.1865052700385659
GSE25837,py_tsp_rf,python_gene_pair,0.7245555555555555,0.4835714285714285,0.4254270631329454,-0.0405176001959717
GSE25837,py_tsp_svm,python_gene_pair,0.5982222222222222,0.4541666666666666,0.4437102366587661,-0.0885704421151399
GSE25837,glmnet_enet,r_classical_reference,0.754444444444445,0.5,0.429779411764706,0.0
GSE25837,knn_euclidean,r_classical_reference,0.651222222222222,0.465714285714286,0.443338127558716,-0.0681226543116948
GSE25837,majority,r_classical_reference,0.754444444444445,0.5,0.429779411764706,0.0
GSE25837,ranger_rf,r_classical_reference,0.744777777777778,0.498095238095238,0.435316176470588,-0.0055267872023126
