dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GSE25837,pyrrm_knn5,pyrrm,25,0.683859649122807,0.0657749604957914,0.4794285714285714,0.0589401143096103,0.4472053607209335,0.0716843195688674,-0.0491657469805963,0.1779023602769954,9.0
GSE25837,xgboost_shallow,R,25,0.7122807017543862,0.0597987173573612,0.4764285714285715,0.0439590486610397,0.4217771610110318,0.0424488943831133,-0.0696098962025618,0.1142396149115813,10.0
GSE25837,py_tsp_rf,python_gene_pair,25,0.6560233918128655,0.0767549893227933,0.4392857142857142,0.054065184894598,0.3995776728832902,0.0379131203436614,-0.1537077640319709,0.1138831642740521,11.0
GSE25837,switchbox_tsp,R,25,0.4212865497076024,0.0836529897366638,0.4261428571428572,0.1322784053827845,0.3726581850939202,0.0809481000036574,-0.129359628102394,0.2481389372893797,12.0
GSE25837,py_tsp,python_gene_pair,25,0.4212865497076023,0.0836529897366639,0.4261428571428571,0.1322784053827844,0.3726581850939202,0.0809481000036575,-0.129359628102394,0.2481389372893796,13.0
GSE25837,py_reos_svm,python_gene_pair,25,0.5527485380116959,0.0981329995994581,0.3917142857142857,0.0867602353349398,0.383011097370886,0.0768852157929042,-0.222826172101322,0.1591702674569173,14.0
GSE25837,py_tsp_svm,python_gene_pair,25,0.5527485380116959,0.0981329995994581,0.3917142857142857,0.0867602353349398,0.383011097370886,0.0768852157929042,-0.222826172101322,0.1591702674569173,14.0
GSE25837,switchbox_ktsp,R,25,0.3847953216374269,0.1164860072653651,0.3854285714285714,0.1315095829518261,0.3479633961428013,0.1068279318679582,-0.2092162728959899,0.2291247708223889,16.0
GSE25837,py_reos,python_gene_pair,25,0.3673684210526315,0.107423414676974,0.3452857142857142,0.1212565307870194,0.3217188803734739,0.0927271273129612,-0.2748617086045797,0.2067687403088478,17.0
GSE27272,svm_linear,R,25,0.6403003003003005,0.0794899111416072,0.5749314685314685,0.0992574845229188,0.5706821940409781,0.1002957900851131,0.1475281966203482,0.2021680306685992,1.0
GSE27272,py_reos,python_gene_pair,25,0.4753753753753754,0.0743423325773658,0.5399244755244755,0.1157341476347822,0.4632188263758629,0.0786984143036044,0.0901259019206974,0.2332505360867866,2.0
